"Step","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MIN","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MAX"
"165","340450.99442832754","340450.99442832754","340450.99442832754"
"167","337096.6063550338","337096.6063550338","337096.6063550338"
"169","334417.44365041616","334417.44365041616","334417.44365041616"
"171","350318.139333767","350318.139333767","350318.139333767"
"173","344410.8285267351","344410.8285267351","344410.8285267351"
"175","330070.82420562516","330070.82420562516","330070.82420562516"
"177","335907.39046266966","335907.39046266966","335907.39046266966"
"179","337220.1668968769","337220.1668968769","337220.1668968769"
"181","342983.5399971678","342983.5399971678","342983.5399971678"
"183","339239.75609619287","339239.75609619287","339239.75609619287"
"185","333350.040690898","333350.040690898","333350.040690898"
"187","338147.0920129811","338147.0920129811","338147.0920129811"
"189","335692.9400263314","335692.9400263314","335692.9400263314"
"191","334400.8206475828","334400.8206475828","334400.8206475828"
"193","337241.64054517535","337241.64054517535","337241.64054517535"
"195","336107.93778912164","336107.93778912164","336107.93778912164"
"197","335212.99768342037","335212.99768342037","335212.99768342037"
"199","330180.002581074","330180.002581074","330180.002581074"
"201","331206.08237432205","331206.08237432205","331206.08237432205"
"203","334864.0035850471","334864.0035850471","334864.0035850471"
"205","334329.61191603786","334329.61191603786","334329.61191603786"
"207","331982.3976370507","331982.3976370507","331982.3976370507"
"209","334620.8109361819","334620.8109361819","334620.8109361819"
"211","334013.84900024807","334013.84900024807","334013.84900024807"
"213","333312.89511748037","333312.89511748037","333312.89511748037"
"215","330297.4555012242","330297.4555012242","330297.4555012242"
"217","337657.5573659947","337657.5573659947","337657.5573659947"
"219","335955.5105444746","335955.5105444746","335955.5105444746"
"221","330252.1363061416","330252.1363061416","330252.1363061416"
"223","332294.9772346327","332294.9772346327","332294.9772346327"
"225","320420.1802990289","320420.1802990289","320420.1802990289"
"227","328807.97605148284","328807.97605148284","328807.97605148284"
"229","332153.40508475347","332153.40508475347","332153.40508475347"
"231","334900.7892923471","334900.7892923471","334900.7892923471"
"233","327376.40802094474","327376.40802094474","327376.40802094474"
"235","328867.32045334455","328867.32045334455","328867.32045334455"
"237","325290.7943008511","325290.7943008511","325290.7943008511"
"239","326764.3209473419","326764.3209473419","326764.3209473419"
"241","332007.22419532016","332007.22419532016","332007.22419532016"
"243","323304.82773127797","323304.82773127797","323304.82773127797"
"245","318539.6674849814","318539.6674849814","318539.6674849814"
"247","323929.94101359334","323929.94101359334","323929.94101359334"
"249","322134.25902567635","322134.25902567635","322134.25902567635"
"251","328881.18842804094","328881.18842804094","328881.18842804094"
"253","329542.01787208096","329542.01787208096","329542.01787208096"
"255","327149.400375651","327149.400375651","327149.400375651"
"257","325739.2943899424","325739.2943899424","325739.2943899424"
"259","324394.473885445","324394.473885445","324394.473885445"
"261","327903.8974948162","327903.8974948162","327903.8974948162"
"263","318108.0862136463","318108.0862136463","318108.0862136463"
"265","331366.05803761247","331366.05803761247","331366.05803761247"
"267","324136.5308970253","324136.5308970253","324136.5308970253"
"269","329215.93471309834","329215.93471309834","329215.93471309834"
"271","320119.3219487043","320119.3219487043","320119.3219487043"
"273","330761.388409678","330761.388409678","330761.388409678"
"275","324220.9177224312","324220.9177224312","324220.9177224312"
"277","320629.3642067536","320629.3642067536","320629.3642067536"
"279","326272.1370719607","326272.1370719607","326272.1370719607"
"281","319710.2220095727","319710.2220095727","319710.2220095727"
"283","323950.6711081611","323950.6711081611","323950.6711081611"
"285","316539.6463190797","316539.6463190797","316539.6463190797"
"287","323149.888274989","323149.888274989","323149.888274989"
"289","327739.9119515537","327739.9119515537","327739.9119515537"
"291","311192.9328443292","311192.9328443292","311192.9328443292"
"293","318471.3018864435","318471.3018864435","318471.3018864435"
"295","327522.1466518571","327522.1466518571","327522.1466518571"
"297","322056.12813189666","322056.12813189666","322056.12813189666"
"299","314702.0190430282","314702.0190430282","314702.0190430282"
"301","327071.0849310216","327071.0849310216","327071.0849310216"
"303","313746.0554849305","313746.0554849305","313746.0554849305"
"305","312551.09472170466","312551.09472170466","312551.09472170466"
"307","316727.3141233578","316727.3141233578","316727.3141233578"
"309","332911.0376707778","332911.0376707778","332911.0376707778"
"311","314340.8693967029","314340.8693967029","314340.8693967029"
"313","321737.74333554663","321737.74333554663","321737.74333554663"
"315","325593.9708515479","325593.9708515479","325593.9708515479"
"317","319042.9840184692","319042.9840184692","319042.9840184692"
"319","321047.97808275244","321047.97808275244","321047.97808275244"
"321","315299.1174281211","315299.1174281211","315299.1174281211"
"323","315565.48759603006","315565.48759603006","315565.48759603006"
"325","319833.7202480869","319833.7202480869","319833.7202480869"
"327","327473.1770500714","327473.1770500714","327473.1770500714"
"329","320345.24049046845","320345.24049046845","320345.24049046845"
"331","319615.5505762394","319615.5505762394","319615.5505762394"
"333","317248.4052361348","317248.4052361348","317248.4052361348"
"335","308963.83614505583","308963.83614505583","308963.83614505583"
"337","313557.5644252787","313557.5644252787","313557.5644252787"
"339","320872.36013188254","320872.36013188254","320872.36013188254"
"341","316818.29542099434","316818.29542099434","316818.29542099434"
"343","324003.0359702897","324003.0359702897","324003.0359702897"
"345","313792.484683125","313792.484683125","313792.484683125"
"347","319108.48805776023","319108.48805776023","319108.48805776023"
"349","309129.63066983956","309129.63066983956","309129.63066983956"
"351","320856.76257871825","320856.76257871825","320856.76257871825"
"353","324085.11847949616","324085.11847949616","324085.11847949616"
"355","317560.8945715979","317560.8945715979","317560.8945715979"
"357","317390.1844273689","317390.1844273689","317390.1844273689"
"359","317555.28777064907","317555.28777064907","317555.28777064907"
"361","310737.6177917744","310737.6177917744","310737.6177917744"
"363","326459.09868781175","326459.09868781175","326459.09868781175"
"365","315271.58320864366","315271.58320864366","315271.58320864366"
"367","317516.2502938426","317516.2502938426","317516.2502938426"
"369","313455.0101978024","313455.0101978024","313455.0101978024"
"371","320827.8186942671","320827.8186942671","320827.8186942671"
"373","318601.9208704587","318601.9208704587","318601.9208704587"
"375","312983.6016960755","312983.6016960755","312983.6016960755"
"377","314974.54011479014","314974.54011479014","314974.54011479014"
"379","304295.5526340728","304295.5526340728","304295.5526340728"
"381","316562.89091317425","316562.89091317425","316562.89091317425"
"383","316581.4069248458","316581.4069248458","316581.4069248458"
"385","312278.0385309669","312278.0385309669","312278.0385309669"
"387","311466.20563227835","311466.20563227835","311466.20563227835"
"389","316911.50758783426","316911.50758783426","316911.50758783426"
"391","315846.21650762844","315846.21650762844","315846.21650762844"
"393","320786.43609906716","320786.43609906716","320786.43609906716"
"395","315565.4955847399","315565.4955847399","315565.4955847399"
"397","319791.81059992895","319791.81059992895","319791.81059992895"
"399","312496.32409316616","312496.32409316616","312496.32409316616"
"401","317311.68421593396","317311.68421593396","317311.68421593396"
"403","316263.80460277037","316263.80460277037","316263.80460277037"
"405","314522.58803424344","314522.58803424344","314522.58803424344"
"407","314050.6187454701","314050.6187454701","314050.6187454701"
"409","315558.37720097956","315558.37720097956","315558.37720097956"
"411","310985.1612861626","310985.1612861626","310985.1612861626"
"413","320626.5445520822","320626.5445520822","320626.5445520822"
"415","315798.444608948","315798.444608948","315798.444608948"
"417","312969.6874259548","312969.6874259548","312969.6874259548"
"419","309632.64401208214","309632.64401208214","309632.64401208214"
"421","318900.55167928693","318900.55167928693","318900.55167928693"
"423","309809.6451652484","309809.6451652484","309809.6451652484"
"425","316042.13083844597","316042.13083844597","316042.13083844597"
"427","318132.40538946394","318132.40538946394","318132.40538946394"
"429","314534.5370921548","314534.5370921548","314534.5370921548"
"431","317552.95725785627","317552.95725785627","317552.95725785627"
"433","310684.98156678776","310684.98156678776","310684.98156678776"
"435","311786.5306094067","311786.5306094067","311786.5306094067"
"437","307281.22881280654","307281.22881280654","307281.22881280654"
"439","312093.18327720056","312093.18327720056","312093.18327720056"
"441","315465.6242611778","315465.6242611778","315465.6242611778"
"443","323412.4397543166","323412.4397543166","323412.4397543166"
"445","307507.48633473454","307507.48633473454","307507.48633473454"
"447","309635.80442814983","309635.80442814983","309635.80442814983"
"449","322901.1765567749","322901.1765567749","322901.1765567749"
"451","322461.388042925","322461.388042925","322461.388042925"
"453","302447.258585508","302447.258585508","302447.258585508"
"455","303335.7416559573","303335.7416559573","303335.7416559573"
"457","314599.06475056533","314599.06475056533","314599.06475056533"
"459","309927.4852176489","309927.4852176489","309927.4852176489"
"461","313694.24085904413","313694.24085904413","313694.24085904413"
"463","303512.9736227316","303512.9736227316","303512.9736227316"
"465","323745.97709106456","323745.97709106456","323745.97709106456"
"467","323681.6638601032","323681.6638601032","323681.6638601032"
"469","317606.83957046946","317606.83957046946","317606.83957046946"
"471","302328.20135595126","302328.20135595126","302328.20135595126"
"473","314415.46233948","314415.46233948","314415.46233948"
"475","319411.91946081736","319411.91946081736","319411.91946081736"
"477","317968.58042687207","317968.58042687207","317968.58042687207"
"479","308584.0424363612","308584.0424363612","308584.0424363612"
"481","317844.57091311796","317844.57091311796","317844.57091311796"
"483","309188.5212646883","309188.5212646883","309188.5212646883"
"485","308751.33342308115","308751.33342308115","308751.33342308115"
"487","310003.5874751732","310003.5874751732","310003.5874751732"
"489","315623.63833922456","315623.63833922456","315623.63833922456"
"491","316830.325181504","316830.325181504","316830.325181504"
"493","313355.39626193943","313355.39626193943","313355.39626193943"
"495","300865.4470207303","300865.4470207303","300865.4470207303"
"497","316475.4928960288","316475.4928960288","316475.4928960288"
"499","319542.8068686479","319542.8068686479","319542.8068686479"
"501","319981.7573999206","319981.7573999206","319981.7573999206"
"503","305565.2522131273","305565.2522131273","305565.2522131273"
"505","305227.75612423307","305227.75612423307","305227.75612423307"
"507","311200.4562603887","311200.4562603887","311200.4562603887"
"509","312131.1661787576","312131.1661787576","312131.1661787576"
"511","303280.7552517606","303280.7552517606","303280.7552517606"
"513","314818.82014330773","314818.82014330773","314818.82014330773"
"515","320205.3515928731","320205.3515928731","320205.3515928731"
"517","311581.85560806165","311581.85560806165","311581.85560806165"
"519","309446.9936587911","309446.9936587911","309446.9936587911"
"521","317350.55078660796","317350.55078660796","317350.55078660796"
"523","305410.6786821335","305410.6786821335","305410.6786821335"
"525","316193.79826879216","316193.79826879216","316193.79826879216"
"527","326113.4037361407","326113.4037361407","326113.4037361407"
"529","309306.81815000053","309306.81815000053","309306.81815000053"
"531","309334.2582846625","309334.2582846625","309334.2582846625"
"533","310562.5618130784","310562.5618130784","310562.5618130784"
"535","307686.64844054537","307686.64844054537","307686.64844054537"
"537","307753.88675651135","307753.88675651135","307753.88675651135"
"539","313094.399247266","313094.399247266","313094.399247266"
"541","305314.27705919615","305314.27705919615","305314.27705919615"
"543","319615.9754757207","319615.9754757207","319615.9754757207"
"545","312469.507737316","312469.507737316","312469.507737316"
